cst;method;time;space;ngram;process;lab
0;srilm-default;2.87;96.97;2;query;2
0;srilm-default;15.6;588.92;3;query;3
0;srilm-default;44.76;1683.7;4;query;4
0;srilm-default;79.03;3202.4;5;query;5
0;srilm-default;119.831;4881.02;6;query;6
0;srilm-default;173.021;6578.34;7;query;7
0;srilm-default;236.505;8240.68;8;query;8
0;srilm-default;318.742;9844.12;9;query;9
0;srilm-default;394.197;11377.5;10;query;10
0;srilm-default;84.73;252.95;2;construction;2
0;srilm-default;320.71;856.22;3;construction;3
0;srilm-default;759.8;1761.36;4;construction;4
0;srilm-default;1545.83;2811;5;construction;5
0;srilm-default;2072.733;3892.17;6;construction;6
0;srilm-default;2935.074;4960.27;7;construction;7
0;srilm-default;4005.327;5995.03;8;construction;8
0;srilm-default;5277.395;6987.27;9;construction;9
0;srilm-default;6575.628;7933.58;10;construction;10
0;srilm-compact;118.868;163.45;2;construction;2
0;srilm-compact;366.4;591.15;3;construction;3
0;srilm-compact;905.436;1341.75;4;construction;4
0;srilm-compact;1721.543;2310.73;5;construction;5
0;srilm-compact;2647.929;3362.1;6;construction;6
0;srilm-compact;3625.27;4419.24;7;construction;7
0;srilm-compact;4561.944;5449.64;8;construction;8
0;srilm-compact;5712.946;6440.13;9;construction;9
0;srilm-compact;7202.073;7385.69;10;construction;10
0;srilm-compact;4.67;64.31;2;query;2
0;srilm-compact;13.359;389.15;3;query;3
0;srilm-compact;35.069;1198.5;4;query;4
0;srilm-compact;62.911;2493.43;5;query;5
0;srilm-compact;92.035;4066.59;6;query;6
0;srilm-compact;125.88;5728.07;7;query;7
0;srilm-compact;186.7;7379.06;8;query;8
0;srilm-compact;264.437;8978.56;9;query;9
0;srilm-compact;260.665;10510.5;10;query;10
1;dual-CST;860.947;996;2;construction;$2-\\\infty$
1;dual-CST;860.947;996;3;construction;
1;dual-CST;860.947;996;4;construction;
1;dual-CST;860.947;996;5;construction;
1;dual-CST;860.947;996;6;construction;
1;dual-CST;860.947;996;7;construction;
1;dual-CST;860.947;996;8;construction;
1;dual-CST;860.947;996;9;construction;
1;dual-CST;860.947;996;10;construction;
1;dual-CST;38.85;370;2;query;$2$
1;dual-CST;25920.1;370;3;query;$3-5$
1;dual-CST;26500.9;370;4;query;
1;dual-CST;28216.2;370;5;query;
1;single-CST;796.833;996;2;construction;$2-\\\infty$
1;single-CST;796.833;996;3;construction;
1;single-CST;796.833;996;4;construction;
1;single-CST;796.833;996;5;construction;
1;single-CST;796.833;996;6;construction;
1;single-CST;796.833;996;7;construction;
1;single-CST;796.833;996;8;construction;
1;single-CST;796.833;996;9;construction;
1;single-CST;796.833;996;10;construction;
1;single-CST;748;177;2;query;$2$
1;single-CST;3867;177;3;query;$3-\\\infty$
1;single-CST;4132;177;4;query;
1;single-CST;4043;177;5;query;
1;single-CST;4061;177;6;query;
1;single-CST;4197;177;7;query;
1;single-CST;4129;177;8;query;
1;single-CST;4210;177;9;query;
1;single-CST;4109.59;177;10;query;
