index;func;ngram;time;calls
single;N1PlusBack;2;25.294;2348574
single;N1PlusFront;2;4.991;2348574
single;N1PlusFrontBack;2;0;0
single;forward_search;2;0;0
single;backward_search;2;20.788;7045722
dual;N1PlusBack;2;4.214;2348574
dual;N1PlusFront;2;4.377;2348574
dual;N1PlusFrontBack;2;0;0
dual;forward_search;2;100.017;4697148
dual;backward_search;2;1.663;2348574
single;N1PlusBack;3;83.154;4688968
single;N1PlusFront;3;11.082;4687148
single;N1PlusFrontBack;3;1158.23;2338574
single;forward_search;3;0;0
single;backward_search;3;45.727;11722870
dual;N1PlusBack;3;302.729;239617276
dual;N1PlusFront;3;13.029;4687148
dual;N1PlusFrontBack;3;2265.06;2338574
dual;forward_search;3;351.819;9374296
dual;backward_search;3;176.566;239615456
single;N1PlusBack;4;141.425;7019730
single;N1PlusFront;4;16.135;7015722
single;N1PlusFrontBack;4;1973.75;4667148
single;forward_search;4;0;0
single;backward_search;4;64.064;16380018
dual;N1PlusBack;4;577.216;440687061
dual;N1PlusFront;4;20.434;7015722
dual;N1PlusFrontBack;4;4899.64;4667148
dual;forward_search;4;676.033;14031444
dual;backward_search;4;437.698;440683053
single;N1PlusBack;5;183.873;9340588
single;N1PlusFront;5;20.962;9334263
single;N1PlusFrontBack;5;2525.03;4667148
single;forward_search;5;0;0
single;backward_search;5;82.344;21017166
dual;N1PlusBack;5;818.439;596678887
dual;N1PlusFront;5;25.973;9334263
dual;N1PlusFrontBack;5;7527.46;6985722
dual;forward_search;5;955.754;18668592
dual;backward_search;5;587.589;596672595

single;N1PlusBack;6;187.233;11651981
single;N1PlusFront;6;22.609;11642419
single;N1PlusFrontBack;6;2563.91;9294264
single;forward_search;6;0;0
single;backward_search;6;88.487;25634250
dual;N1PlusBack;6;945.738;596678887
dual;N1PlusFront;6;31.707;9334263
dual;N1PlusFrontBack;6;8736.85;6985722
dual;forward\_search;6;1371.01;18668592
dual;backward_search;6;636.223;596672595


single;N1PlusBack;8;180.086;16274429
single;N1PlusFront;8;27.737;16217003
single;N1PlusFrontBack;8;2961.82;13878285
single;forward_search;8;0;0
single;backward_search;8;110.468;34802292
dual;N1PlusBack;8;1093.06;868456259
dual;N1PlusFront;8;52.493;16217003
dual;N1PlusFrontBack;8;10819.4;13878285
dual;forward_search;8;2018.59;32456439
dual;backward_search;8;745.139;868408650
single;N1PlusBack;10;199.628;21047737
single;N1PlusFront;10;34.153;20687951
single;N1PlusFrontBack;10;3204.12;18390807
single;forward_search;10;0;0
single;backward_search;10;134.913;43827336
dual;N1PlusBack;10;1119.47;970350420
dual;N1PlusFront;10;46.701;20687951
dual;N1PlusFrontBack;10;10606.3;18390807
dual;forward_search;10;2185.02;41503820
dual;backward_search;10;782.087;970041568
single;N1PlusBack;inf;245.317;75579842
single;N1PlusFront;inf;41.726;54062614
single;N1PlusFrontBack;inf;3100.3;53806286
single;forward_search;inf;0;0
single;backward_search;inf;209.357;114658294
